S229,A,64.7034929550375
S361,C,57.703571680274656
S108,B,45.90878996641021
S340,B,38.621935056548196
S131,B,30.873910293239962
S282,A,30.599908192594636
S275,A,29.96364838249314
S329,A,29.593294528948018
S151,C,28.460176724703864
S308,B,28.164488260252398
S330,B,27.683254437200073
S268,C,23.761958156717263
S306,C,22.40717676896384
S356,C,22.35039168908803
S194,C,18.45483506334964
S352,A,16.67469495429448
S143,A,14.982556916596646
S140,B,12.740308435330366
S139,B,10.512758742767577
S247,C,10.426567698792056
S395,A,9.734444532568245
S031,B,9.584623123487523
S284,C,8.349501930847579
S365,C,7.8713925718236695
S307,A,7.638022962742922
S348,A,7.484561722028844
S040,B,6.7323271440892025
S037,C,6.714326277438162
S201,A,6.6918933233541384
S367,B,5.899355419278009
S364,B,5.810657718848367
S346,B,5.3069501030333095
S126,C,5.091699876458434
S055,B,4.307656462766319
S294,C,3.552362774300395
S080,C,3.5476856514289166
S338,B,3.1950753326610504
S374,C,3.145850843433783
S086,C,3.070353618872146
S244,C,2.9602223740726226
S218,C,2.9584591428301086
S210,C,2.441098594649567
S074,C,2.2214447955285683
S003,C,2.2013379275437988
S114,A,2.082138260562451
S292,A,1.8211945151144144
S273,A,1.8170488145877604
S189,A,1.7552670709391187
S007,A,1.7074223649041822
S208,A,1.6807290234469048
S078,A,1.5902288192371756
S291,A,1.5813804875280348
S266,A,1.4816275916991841
S123,A,1.3824416796327406
S005,A,1.367266481827159
S154,A,1.2941646163361422
S150,A,0.3658167256454711
S314,C,0.3635588718205155
S129,C,0.32603960134737126
S023,C,0.3130353368019368
S098,B,0.1403711801330837
S324,B,0.1260710215386133
S088,B,0.12328883105528761
S054,B,0.12280464730948674
S310,B,0.12218783559366903
S392,B,0.12114598564685977
S216,B,0.11984869188940785
S141,B,0.11903083031027473
S202,B,0.11629233011294215
S258,B,0.11624735359303374
S360,B,0.1148216650638155
S138,B,0.1137594763841836
S175,B,0.1135408243114475
S092,B,0.11345042650460997
S256,B,0.11287019149277189
S174,B,0.10848534845202058
S146,B,0.10770640122187843
S169,B,0.10761396739189341
S172,B,0.10667971957978603
S221,A,0.10647437676536328
S197,B,0.10434705502573903
S376,B,0.10395687829177949
S064,A,0.10354892333465708
S076,C,0.10217862757077023
S239,C,0.10147253704228384
S115,A,0.10005874803887387
S066,A,0.10001318471479982
S263,C,0.10001241064830822
S075,A,0.099329895327807
S152,A,0.09815766961592273
S191,B,0.09749367577724649
S157,A,0.09661839105955135
S110,C,0.09562105773540913
S237,A,0.0883892760571426
S113,C,0.08820213300775072
S025,C,0.08510254588707239
S318,A,0.0848885749087307
S186,C,0.08415844112679977
S245,C,0.07980502865488807
S332,A,0.07083139809484598
S313,C,0.07035711125645734
S039,C,0.07030976055721781
S213,C,0.06761096517354348
S173,C,0.062157180486400246
S002,A,0.06059271440098376
S067,C,0.05943433372714894
S269,A,0.05776738441894396
S333,B,0.05711033813375221
S149,C,0.05580110890250607
S300,A,0.053316696210518155
